	text	emotion
0	During the period of falling in love, each time that we met and á especially when we had not met for a long time.	1
1	When I was involved in a traffic accident.	2
2	When I was driving home after  several days of hard work, there á was a motorist ahead of me who was driving at 50 km/hour and á refused, despite his low speeed to let me overtake.	3
3	When I lost the person who meant the most to me. 	4
4	The time I knocked a deer down - the sight of the animal's á injuries and helplessness. The realization that the animal was á so badly hurt that it had to be put down, and when the animal á screamed at the moment of death.	5
5	When I did not speak the truth.	6
6	When I caused problems for somebody because he could not keep the á appointed time and this led to various consequences.	7
7	When I got a letter offering me the Summer job that I had applied á for.  	1
8	When I was going home alone one night in Paris and a man came up á behind me and asked me if I was not afraid to be out alone so á late at night.	2
9	When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.	3
10	When my friends did not ask me to go to a New Year's party á with them.	4
11	When I saw all the very drunk kids (13-14 years old) in town on á Walpurgis night.	5
12	When I could not remember what to say about a presentation task á at an accounts meeting.	6
13	When my uncle and my neighbour came home under police escort.	7
14	Every time I imagine that someone I love or I could contact a á serious illness, even death.	2
15	When I had been obviously unjustly treated and had no possibility á of elucidating this.	3
16	When I think about the short time that we live and relate it to á the periods of my life when I think that I did not use this á short time.	4
17	At a gathering I found myself involuntarily sitting next to two á people who expressed opinions that I considered very low and á discriminating.	5
18	When I realized that I was directing the feelings of discontent á with myself at my partner and this way was trying to put the blame á on him instead of sorting out my own feeliings.	6
19	I feel guilty when when I realize that I consider material things á more important than caring for my relatives.  I feel very á self-centered.	7
20	After my girlfriend had taken her exam we went to her parent's á place.	1
21	When, for the first time I realized the meaning of death.	2
22	When a car is overtaking another and I am forced to drive off the á road.	3
23	When I recently thought about the hard work it takes to study, and  á how one wants to try something else.  When I read a theoretical á book in English that I did not understand.	4
24	When I found a bristle in the liver paste tube.	5
25	When I was tired and unmotivated, I shouted at my girlfriend and á and brought up negative sides of her character which are actually á not so important.	6
26	When I think that I do not study enough.  After the weekend I á think that I should have been able to have accomplished á something during that time.	7
27	When I pass an examination which I did not think I did well.	1
28	When one has arranged to meet someone and that person arrives á late, in the meantime one starts thinking about all that could á have gone wrong e.g a traffic accident.	2
29	When one is unjustly accused of something one has not done.	3
30	When one's studies seem hopelessly difficult and uninteresting.  	4
31	When one finds out that someone you know is not at all like one á had thought, for instance friends who steal and things like that, á quite unwarranted.	5
32	When one has been unjust, stupid towards someone else. 	6
33	When one has neglected or been unjust to a good friend.	7
34	Passing an exam I did not expect to pass.	1
35	When I climbed up a tree to pick apples.  The angle of the ladder á I was on did not enable me to get high enough.  This implied á that the ladder was not very stable.	2
36	Friends who torture animals.	3
37	Friends who torture animals.	5
38	When I had my children.	1
39	When my 2 year old son climbed up and sat on the 7th floor á balcony with his legs hanging out.  He was holding on tightly to á the upper railing of the balcony but he could have easily lost á his balance when he sat down.	2
40	When my partner was attacked and lost three teeth.	3
41	When I see children on T.V from areas devastated by drought and á war.	4
42	When I nearly walked on a blindworm and then saw it crawl away.	5
43	When I saw my 18 year old son grab an oxygen mask as he had á breathing difficulties.  I had a bad conscience because I had not á stopped smoking.  Medication for the dilation of his breathing á tubes also caused a sense of guilt in me.	6
44	I experience a sense of guilt as my middle son cannot express á himself like other children, neither verbally nor in writing.	7
45	When my child was born.	1
46	It was winter/spring and the ice was melting.  I was far out on a á jetty and I poked the ice with a long branch to try and break it. á  The branch went through the ice and I fell in, the water closed á in over my head.	2
47	Unjust accusations directed at me and my way of acting, by á someone close to me.  	3
48	Failing an examination.	4
